 v-sweep         v(vin)          v(vout)        
 1.97000000e-01  1.97000000e-01  1.49833492e+00 
 1.98000000e-01  1.98000000e-01  1.49828593e+00 
 1.99000000e-01  1.99000000e-01  1.49823565e+00 
 2.00000000e-01  2.00000000e-01  1.49818406e+00 
 2.01000000e-01  2.01000000e-01  1.49813113e+00 
 2.02000000e-01  2.02000000e-01  1.49807683e+00 
 2.03000000e-01  2.03000000e-01  1.49802114e+00 
 2.04000000e-01  2.04000000e-01  1.49796403e+00 
 2.05000000e-01  2.05000000e-01  1.49790547e+00 
 2.06000000e-01  2.06000000e-01  1.49784543e+00 
 2.07000000e-01  2.07000000e-01  1.49778390e+00 
 2.08000000e-01  2.08000000e-01  1.49772084e+00 
 2.09000000e-01  2.09000000e-01  1.49765622e+00 
 2.10000000e-01  2.10000000e-01  1.49759002e+00 
 2.11000000e-01  2.11000000e-01  1.49752220e+00 
 2.12000000e-01  2.12000000e-01  1.49745275e+00 
 2.13000000e-01  2.13000000e-01  1.49738163e+00 
 2.14000000e-01  2.14000000e-01  1.49730882e+00 
 2.15000000e-01  2.15000000e-01  1.49723429e+00 
 2.16000000e-01  2.16000000e-01  1.49715801e+00 
 2.17000000e-01  2.17000000e-01  1.49707996e+00 
 2.18000000e-01  2.18000000e-01  1.49700010e+00 
 2.19000000e-01  2.19000000e-01  1.49691841e+00 
 2.20000000e-01  2.20000000e-01  1.49683486e+00 
 2.21000000e-01  2.21000000e-01  1.49674942e+00 
 2.22000000e-01  2.22000000e-01  1.49666207e+00 
 2.23000000e-01  2.23000000e-01  1.49657278e+00 
 2.24000000e-01  2.24000000e-01  1.49648153e+00 
 2.25000000e-01  2.25000000e-01  1.49638828e+00 
 2.26000000e-01  2.26000000e-01  1.49629301e+00 
 2.27000000e-01  2.27000000e-01  1.49619569e+00 
 2.28000000e-01  2.28000000e-01  1.49609630e+00 
 2.29000000e-01  2.29000000e-01  1.49599480e+00 
 2.30000000e-01  2.30000000e-01  1.49589118e+00 
 2.31000000e-01  2.31000000e-01  1.49578541e+00 
 2.32000000e-01  2.32000000e-01  1.49567746e+00 
 2.33000000e-01  2.33000000e-01  1.49556730e+00 
 2.34000000e-01  2.34000000e-01  1.49545491e+00 
 2.35000000e-01  2.35000000e-01  1.49534026e+00 
 2.36000000e-01  2.36000000e-01  1.49522334e+00 
 2.37000000e-01  2.37000000e-01  1.49510410e+00 
 2.38000000e-01  2.38000000e-01  1.49498254e+00 
 2.39000000e-01  2.39000000e-01  1.49485862e+00 
 2.40000000e-01  2.40000000e-01  1.49473232e+00 
 2.41000000e-01  2.41000000e-01  1.49460361e+00 
 2.42000000e-01  2.42000000e-01  1.49447247e+00 
 2.43000000e-01  2.43000000e-01  1.49433888e+00 
 2.44000000e-01  2.44000000e-01  1.49420281e+00 
 2.45000000e-01  2.45000000e-01  1.49406424e+00 
