 time            v(vr)           v(VDD)          i(r1)          
 9.62909139e-09  3.30000014e+00  3.30000000e+00 -1.38646265e-09 
 9.72909139e-09  3.30000009e+00  3.30000000e+00 -8.85953144e-10 
 9.82909139e-09  3.30000006e+00  3.30000000e+00 -5.64845191e-10 
 9.92909139e-09  3.30000004e+00  3.30000000e+00 -3.62792768e-10 
 1.00290914e-08  3.30000002e+00  3.30000000e+00 -2.38416897e-10 
 1.01290914e-08  3.30000002e+00  3.30000000e+00 -1.50679844e-10 
 1.02290914e-08  3.29999998e+00  3.30000000e+00  2.49365376e-10 
 1.03290914e-08  3.29999952e+00  3.30000000e+00  4.83917338e-09 
 1.04290914e-08  3.29999709e+00  3.30000000e+00  2.90915906e-08 
 1.05105486e-08  3.29999766e+00  3.30000000e+00  2.33797771e-08 
 1.05552929e-08  3.29999872e+00  3.30000000e+00  1.28090237e-08 
 1.06142647e-08  3.30000212e+00  3.30000000e+00 -2.12111884e-08 
 1.06780000e-08  3.30001033e+00  3.30000000e+00 -1.03327651e-07 
 1.07505516e-08  3.30001765e+00  3.30000000e+00 -1.76452743e-07 
 1.08505516e-08  3.30002723e+00  3.30000000e+00 -2.72304129e-07 
 1.09505516e-08  3.30003432e+00  3.30000000e+00 -3.43158720e-07 
 1.10189877e-08  3.30003005e+00  3.30000000e+00 -3.00505590e-07 
 1.10780646e-08  3.30000438e+00  3.30000000e+00 -4.37523006e-08 
 1.11289913e-08  3.29997604e+00  3.30000000e+00  2.39579165e-07 
 1.11672720e-08  3.29983620e+00  3.30000000e+00  1.63803768e-06 
 1.11939419e-08  3.29975859e+00  3.30000000e+00  2.41412167e-06 
 1.12181228e-08  3.29984748e+00  3.30000000e+00  1.52522237e-06 
 1.12422782e-08  3.29994164e+00  3.30000000e+00  5.83640530e-07 
 1.12670360e-08  3.30014412e+00  3.30000000e+00 -1.44122881e-06 
 1.12895039e-08  3.30056426e+00  3.30000000e+00 -5.64261857e-06 
 1.13057858e-08  3.30071052e+00  3.30000000e+00 -7.10517909e-06 
 1.13215699e-08  3.30074135e+00  3.30000000e+00 -7.41350640e-06 
 1.13304124e-08  3.30131152e+00  3.30000000e+00 -1.31152169e-05 
 1.13353719e-08  3.30097438e+00  3.30000000e+00 -9.74379318e-06 
 1.13412861e-08  3.30083703e+00  3.30000000e+00 -8.37031944e-06 
 1.13470549e-08  3.30062741e+00  3.30000000e+00 -6.27408519e-06 
 1.13535578e-08  3.30028399e+00  3.30000000e+00 -2.83986482e-06 
 1.13665635e-08  3.29986520e+00  3.30000000e+00  1.34796535e-06 
 1.13925751e-08  3.29972677e+00  3.30000000e+00  2.73226634e-06 
 1.14182730e-08  3.29988085e+00  3.30000000e+00  1.19151032e-06 
 1.14504765e-08  3.29991612e+00  3.30000000e+00  8.38849453e-07 
 1.14804077e-08  3.29968524e+00  3.30000000e+00  3.14756942e-06 
 1.15381199e-08  3.29880630e+00  3.30000000e+00  1.19370008e-05 
 1.16315594e-08  3.29698800e+00  3.30000000e+00  3.01199697e-05 
 1.17315594e-08  3.29463428e+00  3.30000000e+00  5.36572409e-05 
 1.18315594e-08  3.28900946e+00  3.30000000e+00  1.09905393e-04 
 1.18925495e-08  3.25938106e+00  3.30000000e+00  4.06189450e-04 
 1.19557360e-08  3.20359215e+00  3.30000000e+00  9.64078549e-04 
 1.20076972e-08  3.14818911e+00  3.30000000e+00  1.51810888e-03 
 1.20638883e-08  3.07382337e+00  3.30000000e+00  2.26176626e-03 
 1.21000618e-08  3.01805923e+00  3.30000000e+00  2.81940771e-03 
 1.21261764e-08  2.97787909e+00  3.30000000e+00  3.22120912e-03 
 1.21541009e-08  2.93127585e+00  3.30000000e+00  3.68724149e-03 
 1.21824708e-08  2.85297075e+00  3.30000000e+00  4.47029246e-03 
 1.22141166e-08  2.69435046e+00  3.30000000e+00  6.05649535e-03 
 1.22414832e-08  2.51745360e+00  3.30000000e+00  7.82546403e-03 
 1.22676329e-08  2.37427061e+00  3.30000000e+00  9.25729395e-03 
 1.22967268e-08  2.30570290e+00  3.30000000e+00  9.94297097e-03 
 1.23262682e-08  2.32255483e+00  3.30000000e+00  9.77445174e-03 
 1.23598516e-08  2.39162067e+00  3.30000000e+00  9.08379330e-03 
 1.24031076e-08  2.49578996e+00  3.30000000e+00  8.04210042e-03 
 1.24452994e-08  2.58763124e+00  3.30000000e+00  7.12368759e-03 
 1.25003187e-08  2.68181347e+00  3.30000000e+00  6.18186534e-03 
 1.25718970e-08  2.77050188e+00  3.30000000e+00  5.29498125e-03 
 1.26321045e-08  2.83346026e+00  3.30000000e+00  4.66539742e-03 
 1.26669325e-08  2.86578685e+00  3.30000000e+00  4.34213148e-03 
 1.27063230e-08  2.90018011e+00  3.30000000e+00  3.99819888e-03 
 1.27474447e-08  2.93431491e+00  3.30000000e+00  3.65685090e-03 
 1.28296881e-08  2.99662330e+00  3.30000000e+00  3.03376696e-03 
 1.29296881e-08  3.06063519e+00  3.30000000e+00  2.39364806e-03 
 1.30296881e-08  3.11225058e+00  3.30000000e+00  1.87749422e-03 
 1.31296881e-08  3.15316632e+00  3.30000000e+00  1.46833676e-03 
 1.32296881e-08  3.18533805e+00  3.30000000e+00  1.14661945e-03 
 1.33296881e-08  3.21052478e+00  3.30000000e+00  8.94752166e-04 
 1.34296881e-08  3.23019125e+00  3.30000000e+00  6.98087475e-04 
 1.35296881e-08  3.24552331e+00  3.30000000e+00  5.44766936e-04 
 1.36296881e-08  3.25746746e+00  3.30000000e+00  4.25325422e-04 
 1.37296881e-08  3.26677162e+00  3.30000000e+00  3.32283797e-04 
 1.38296881e-08  3.27402217e+00  3.30000000e+00  2.59778284e-04 
 1.39296881e-08  3.27967627e+00  3.30000000e+00  2.03237324e-04 
 1.40296881e-08  3.28408909e+00  3.30000000e+00  1.59109072e-04 
 1.41296881e-08  3.28753616e+00  3.30000000e+00  1.24638425e-04 
 1.42296881e-08  3.29023111e+00  3.30000000e+00  9.76889285e-05 
 1.43296881e-08  3.29233971e+00  3.30000000e+00  7.66029377e-05 
 1.44296881e-08  3.29399070e+00  3.30000000e+00  6.00929889e-05 
 1.45296881e-08  3.29528421e+00  3.30000000e+00  4.71578894e-05 
 1.46296881e-08  3.29629819e+00  3.30000000e+00  3.70180592e-05 
 1.47296881e-08  3.29709343e+00  3.30000000e+00  2.90657167e-05 
 1.48296881e-08  3.29771735e+00  3.30000000e+00  2.28264679e-05 
 1.49296881e-08  3.29820704e+00  3.30000000e+00  1.79296479e-05 
 1.50296881e-08  3.29859146e+00  3.30000000e+00  1.40854020e-05 
 1.51296881e-08  3.29889329e+00  3.30000000e+00  1.10670626e-05 
 1.52296881e-08  3.29913065e+00  3.30000000e+00  8.69348154e-06 
 1.53296881e-08  3.29932305e+00  3.30000000e+00  6.76952244e-06 
 1.53826382e-08  3.29940942e+00  3.30000000e+00  5.90583844e-06 
 1.54423757e-08  3.29948827e+00  3.30000000e+00  5.11727313e-06 
 1.55050923e-08  3.29955648e+00  3.30000000e+00  4.43523607e-06 
 1.55716000e-08  3.29961848e+00  3.30000000e+00  3.81516537e-06 
 1.56712563e-08  3.29969537e+00  3.30000000e+00  3.04630072e-06 
 1.57712563e-08  3.29974317e+00  3.30000000e+00  2.56828991e-06 
 1.58712563e-08  3.29974266e+00  3.30000000e+00  2.57343586e-06 
 1.59712563e-08  3.29970719e+00  3.30000000e+00  2.92810631e-06 
 1.60712563e-08  3.29965925e+00  3.30000000e+00  3.40748616e-06 
 1.61712563e-08  3.29960908e+00  3.30000000e+00  3.90920769e-06 
 1.62712563e-08  3.29955085e+00  3.30000000e+00  4.49147048e-06 
 1.63712563e-08  3.29946214e+00  3.30000000e+00  5.37856479e-06 
 1.64712563e-08  3.29935251e+00  3.30000000e+00  6.47489513e-06 
 1.65712563e-08  3.29993385e+00  3.30000000e+00  6.61540502e-07 
 1.66712563e-08  3.30354242e+00  3.30000000e+00 -3.54242179e-05 
 1.67712563e-08  3.31354314e+00  3.30000000e+00 -1.35431424e-04 
 1.68712563e-08  3.33470451e+00  3.30000000e+00 -3.47045124e-04 
 1.69712563e-08  3.37891889e+00  3.30000000e+00 -7.89188929e-04 
 1.70712563e-08  3.46566949e+00  3.30000000e+00 -1.65669486e-03 
 1.71376584e-08  3.53446422e+00  3.30000000e+00 -2.34464218e-03 
 1.72147002e-08  3.60283909e+00  3.30000000e+00 -3.02839095e-03 
 1.72673725e-08  3.62544554e+00  3.30000000e+00 -3.25445539e-03 
 1.73101173e-08  3.61820720e+00  3.30000000e+00 -3.18207204e-03 
 1.73330889e-08  3.61740186e+00  3.30000000e+00 -3.17401858e-03 
 1.73594003e-08  3.62550308e+00  3.30000000e+00 -3.25503076e-03 
 1.73752933e-08  3.62694685e+00  3.30000000e+00 -3.26946854e-03 
 1.73935381e-08  3.62157091e+00  3.30000000e+00 -3.21570906e-03 
 1.74157795e-08  3.60710022e+00  3.30000000e+00 -3.07100220e-03 
 1.74389176e-08  3.58567578e+00  3.30000000e+00 -2.85675785e-03 
 1.74605197e-08  3.56007255e+00  3.30000000e+00 -2.60072552e-03 
 1.74821710e-08  3.52630017e+00  3.30000000e+00 -2.26300169e-03 
 1.75056767e-08  3.48001898e+00  3.30000000e+00 -1.80018985e-03 
 1.75330632e-08  3.43033831e+00  3.30000000e+00 -1.30338308e-03 
 1.75597999e-08  3.39840279e+00  3.30000000e+00 -9.84027896e-04 
 1.76042870e-08  3.37334689e+00  3.30000000e+00 -7.33468898e-04 
 1.76331262e-08  3.36901409e+00  3.30000000e+00 -6.90140899e-04 
 1.76529052e-08  3.33788496e+00  3.30000000e+00 -3.78849583e-04 
 1.76717611e-08  3.31377294e+00  3.30000000e+00 -1.37729437e-04 
 1.76905842e-08  3.30353742e+00  3.30000000e+00 -3.53742131e-05 
 1.77092974e-08  3.30047318e+00  3.30000000e+00 -4.73175979e-06 
 1.77287225e-08  3.29981712e+00  3.30000000e+00  1.82882275e-06 
 1.77588860e-08  3.30058255e+00  3.30000000e+00 -5.82546280e-06 
 1.77868914e-08  3.30205272e+00  3.30000000e+00 -2.05271893e-05 
 1.78216251e-08  3.30316401e+00  3.30000000e+00 -3.16401370e-05 
 1.78537707e-08  3.30300204e+00  3.30000000e+00 -3.00204234e-05 
 1.78866382e-08  3.30218636e+00  3.30000000e+00 -2.18635738e-05 
 1.79085291e-08  3.30098804e+00  3.30000000e+00 -9.88044141e-06 
 1.79249496e-08  3.29958473e+00  3.30000000e+00  4.15266120e-06 
 1.79375485e-08  3.30019999e+00  3.30000000e+00 -1.99988784e-06 
 1.79508290e-08  3.30057302e+00  3.30000000e+00 -5.73018727e-06 
 1.79649408e-08  3.30108943e+00  3.30000000e+00 -1.08943085e-05 
 1.79919608e-08  3.30142212e+00  3.30000000e+00 -1.42212371e-05 
 1.80403254e-08  3.30119745e+00  3.30000000e+00 -1.19745182e-05 
 1.80939790e-08  3.30073941e+00  3.30000000e+00 -7.39412967e-06 
 1.81445047e-08  3.30041750e+00  3.30000000e+00 -4.17497938e-06 
 1.81910190e-08  3.30024233e+00  3.30000000e+00 -2.42325755e-06 
 1.82355779e-08  3.30014812e+00  3.30000000e+00 -1.48117784e-06 
 1.82843266e-08  3.30008959e+00  3.30000000e+00 -8.95862311e-07 
 1.83288000e-08  3.30005838e+00  3.30000000e+00 -5.83752514e-07 
 1.83757383e-08  3.30003796e+00  3.30000000e+00 -3.79602244e-07 
 1.84255330e-08  3.30002453e+00  3.30000000e+00 -2.45292527e-07 
 1.84889688e-08  3.30001440e+00  3.30000000e+00 -1.43972546e-07 
 1.85641166e-08  3.30000796e+00  3.30000000e+00 -7.96464162e-08 
 1.86641166e-08  3.30000385e+00  3.30000000e+00 -3.85210885e-08 
 1.87641166e-08  3.30000208e+00  3.30000000e+00 -2.08269365e-08 
 1.88641166e-08  3.30000127e+00  3.30000000e+00 -1.27494249e-08 
 1.89641166e-08  3.30000084e+00  3.30000000e+00 -8.43031966e-09 
 1.90641166e-08  3.30000057e+00  3.30000000e+00 -5.70576030e-09 
 1.91641166e-08  3.30000038e+00  3.30000000e+00 -3.83301062e-09 
 1.92641166e-08  3.30000025e+00  3.30000000e+00 -2.52946070e-09 
