 time            i(i0)           i(v1)           vr1             vr2            
 2.01396955e-10  3.30000000e-04 -7.69508877e-08  2.55000000e+00  3.05000000e+00 
 2.47722958e-10  3.30000000e-04 -6.25622973e-08  2.55000000e+00  3.05000000e+00 
 2.91004317e-10  3.30000000e-04 -3.27050741e-08  2.55000000e+00  3.05000000e+00 
 3.39420527e-10  3.30000000e-04 -7.02877622e-09  2.55000000e+00  3.05000000e+00 
 4.07428966e-10  3.30000000e-04  1.51761763e-08  2.55000000e+00  3.05000000e+00 
 4.90210738e-10  3.30000000e-04  2.78309578e-07  2.55000000e+00  3.05000000e+00 
 5.88876889e-10  3.30000000e-04  1.16900031e-06  2.55000000e+00  3.05000000e+00 
 6.88876889e-10  3.30000000e-04  2.04984803e-06  2.55000000e+00  3.05000000e+00 
 7.88876889e-10  3.30000000e-04  3.93185368e-06  2.55000000e+00  3.05000000e+00 
 8.58917985e-10  3.30000000e-04 -1.00735842e-05  2.55000000e+00  3.05000000e+00 
 9.25213072e-10  3.30000000e-04 -6.31493916e-05  2.55000000e+00  3.05000000e+00 
 9.68413957e-10  3.30000000e-04 -1.57632607e-04  2.55000000e+00  3.05000000e+00 
 9.94072047e-10  3.30000000e-04 -3.56376771e-04  2.55000000e+00  3.05000000e+00 
 1.01452328e-09  3.30000000e-04 -4.99577594e-04  2.55000000e+00  3.05000000e+00 
 1.03494308e-09  3.30000000e-04 -2.81781451e-04  2.55000000e+00  3.05000000e+00 
 1.05637702e-09  3.30000000e-04  5.44281349e-04  2.55000000e+00  3.05000000e+00 
 1.07453238e-09  3.30000000e-04  1.81050624e-03  2.55000000e+00  3.05000000e+00 
 1.08783785e-09  3.30000000e-04  3.01020260e-03  2.55000000e+00  3.05000000e+00 
 1.10427682e-09  3.30000000e-04  4.26047015e-03  2.55000000e+00  3.05000000e+00 
 1.11586474e-09  3.30000000e-04  4.86435754e-03  2.55000000e+00  3.05000000e+00 
 1.12925016e-09  3.30000000e-04  5.29089740e-03  2.55000000e+00  3.05000000e+00 
 1.15005217e-09  3.30000000e-04  5.57830140e-03  2.55000000e+00  3.05000000e+00 
 1.17320198e-09  3.30000000e-04  5.53615590e-03  2.55000000e+00  3.05000000e+00 
 1.20570156e-09  3.30000000e-04  4.89205938e-03  2.55000000e+00  3.05000000e+00 
 1.24388479e-09  3.30000000e-04  2.90347485e-03  2.55000000e+00  3.05000000e+00 
 1.26084295e-09  3.30000000e-04  2.29179471e-03  2.55000000e+00  3.05000000e+00 
 1.27666884e-09  3.30000000e-04  1.45791807e-03  2.55000000e+00  3.05000000e+00 
 1.28495626e-09  3.30000000e-04  9.36752948e-04  2.55000000e+00  3.05000000e+00 
 1.29012530e-09  3.30000000e-04  6.35262329e-04  2.55000000e+00  3.05000000e+00 
 1.29467192e-09  3.30000000e-04  4.62629324e-04  2.55000000e+00  3.05000000e+00 
 1.29961686e-09  3.30000000e-04  3.36953495e-04  2.55000000e+00  3.05000000e+00 
 1.30827706e-09  3.30000000e-04  1.88840935e-04  2.55000000e+00  3.05000000e+00 
 1.31710891e-09  3.30000000e-04  1.02183868e-04  2.55000000e+00  3.05000000e+00 
 1.33477261e-09  3.30000000e-04  2.24670259e-05  2.55000000e+00  3.05000000e+00 
